"s","p","o"
"http://dbpedia.org/resource/Ruhr_University_Bochum","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Thing"
"http://dbpedia.org/resource/Ruhr_University_Bochum","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/ontology/EducationalInstitution"
"http://dbpedia.org/resource/Ruhr_University_Bochum","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://schema.org/CollegeOrUniversity"
"http://dbpedia.org/resource/Ruhr_University_Bochum","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.wikidata.org/entity/Q3918"
"http://dbpedia.org/resource/Ruhr_University_Bochum","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing"
"http://dbpedia.org/resource/Ruhr_University_Bochum","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/ontology/University"
"http://dbpedia.org/resource/Ruhr_University_Bochum","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#SocialPerson"
"http://dbpedia.org/resource/Ruhr_University_Bochum","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://schema.org/EducationalOrganization"
"http://dbpedia.org/resource/Ruhr_University_Bochum","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://schema.org/Organization"
"http://dbpedia.org/resource/Ruhr_University_Bochum","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent"
